county_fips,county_name,type,total_2012,obama,romney,total_2016,clinton,trump,r_d_change,median_age,prop_white,prop_college,Winner
1001,Autauga,County,23973,6363,17379,24973,5936,18172,0.03045221012388788,37.8,0.757,0.24600000000000002,Trump
1003,Baldwin,County,85491,18424,66016,95215,18458,72883,0.014910935356503452,42.3,0.8320000000000001,0.295,Trump
1005,Barbour,County,11517,5912,5550,10469,4871,5454,0.08712001884558547,38.7,0.45899999999999996,0.129,Trump
1007,Bibb,County,8420,2202,6132,8819,1874,6738,0.08479061215002481,40.2,0.748,0.12,Trump
1009,Blount,County,24060,2970,20757,25588,2156,22859,0.06981339055051128,40.8,0.877,0.13,Trump
1011,Bullock,County,5322,4061,1251,4710,3530,1140,0.020565995734566522,39.2,0.217,0.10300000000000001,Clinton
1013,Butler,County,9502,4374,5087,8732,3726,4901,0.05952569427966223,40.6,0.528,0.161,Trump
1015,Calhoun,County,46364,15511,30278,47864,13242,32865,0.09147266974600182,39.1,0.73,0.177,Trump
1017,Chambers,County,14629,6871,7626,13900,5784,7843,0.0965196802842093,43.1,0.5670000000000001,0.125,Trump
1019,Cherokee,County,9792,2132,7506,10733,1547,8953,0.14120606975980854,45.7,0.919,0.14,Trump
1021,Chilton,County,17485,3397,13932,18369,2911,15081,0.06001281859023433,38.7,0.8059999999999999,0.149,Trump
1023,Choctaw,County,7976,3786,4152,7292,3109,4106,0.09083751528859754,45.1,0.562,0.12,Trump
1025,Clarke,County,13860,6334,7470,13031,5749,7140,0.024782971187698385,42,0.532,0.121,Trump
1027,Clay,County,6679,1777,4817,6624,1237,5245,0.14991450599000544,43.7,0.8029999999999999,0.111,Trump
1029,Cleburne,County,6319,971,5272,6593,684,5764,0.0898685099243619,41.5,0.9279999999999999,0.115,Trump
1031,Coffee,County,19821,4925,14666,20767,4221,15875,0.06973032952722896,39.3,0.7140000000000001,0.237,Trump
1033,Colbert,County,23444,9166,13936,24915,7312,16746,0.17518382839480542,42.4,0.789,0.185,Trump
1035,Conecuh,County,7025,3555,3439,6585,3080,3420,0.06814495361776063,44,0.507,0.087,Trump
1037,Coosa,County,5282,2191,3049,5252,1782,3381,0.142016975268144,44.9,0.65,0.099,Trump
1039,Covington,County,15439,3158,12153,15940,2387,13267,0.09994414412554764,42.9,0.835,0.149,Trump
1041,Crenshaw,County,6424,2050,4331,6267,1664,4513,0.09952875873762845,41.6,0.7090000000000001,0.146,Trump
1043,Cullman,County,34555,5052,28999,37873,3798,32989,0.07774903049607917,40.5,0.925,0.15,Trump
1045,Dale,County,18601,5286,13108,18749,4413,13808,0.08057836557368753,36.9,0.7020000000000001,0.161,Trump
1047,Dallas,County,20964,14612,6288,18792,12836,5789,0.02206162946002671,38.9,0.281,0.138,Clinton
1049,DeKalb,County,23950,5239,18331,25826,3622,21405,0.14193082758599496,39.3,0.81,0.114,Trump
1051,Elmore,County,35546,8954,26253,37260,8443,27634,0.028391194445101353,38.3,0.737,0.222,Trump
1053,Escambia,County,14894,5489,9287,14845,4605,9935,0.10404143473879834,39.9,0.606,0.11599999999999999,Trump
1055,Etowah,County,42624,12803,29130,44164,10442,32353,0.11308095850016303,40.9,0.784,0.165,Trump
1057,Fayette,County,7958,1817,6054,8249,1362,6712,0.11614325615591692,43.6,0.852,0.141,Trump
1059,Franklin,County,10881,3171,7567,12040,2197,9466,0.19973055687609326,39.1,0.7809999999999999,0.124,Trump
1061,Geneva,County,11331,2039,9175,11758,1525,9994,0.090498838331318,42,0.841,0.11699999999999999,Trump
1063,Greene,County,5343,4521,804,4880,4013,838,0.04506183208917447,41.3,0.171,0.1,Clinton
1065,Hale,County,8647,5411,3210,8040,4775,3173,0.05528541518152272,39.7,0.4,0.14,Clinton
1067,Henry,County,8766,3083,5628,8072,2292,5632,0.12344975530515123,43.2,0.6859999999999999,0.161,Trump
1069,Houston,County,41984,12367,29270,42639,10664,30728,0.06794937101607856,39.3,0.675,0.21,Trump
1071,Jackson,County,20632,5822,14439,20984,3673,16672,0.20181978787878335,42.8,0.895,0.126,Trump
1073,Jefferson,County,304523,159876,141683,304191,156873,134768,-0.012925545291612793,37.5,0.507,0.314,Clinton
1075,Lamar,County,7176,1646,5457,6966,1036,5823,0.15611913863514804,44.3,0.861,0.131,Trump
1077,Lauderdale,County,37032,12511,23911,39525,9952,27899,0.14622517967946486,41.3,0.85,0.217,Trump
1079,Lawrence,County,14148,5069,8874,14829,3627,10833,0.21699710599619948,42.2,0.767,0.10300000000000001,Trump
1081,Lee,County,54496,21381,32194,59191,21230,34617,0.027747907591825854,30.5,0.679,0.344,Trump
1083,Limestone,County,35540,9829,25295,40294,9468,29067,0.05122832270040861,39,0.774,0.233,Trump
1085,Lowndes,County,7523,5747,1756,6684,4883,1751,0.06192475928397673,40.4,0.244,0.12300000000000001,Clinton
1087,Macon,County,10396,9045,1331,9140,7566,1431,0.07079077712939585,38.2,0.154,0.2,Clinton
1089,Madison,County,155428,62015,90884,163389,62822,89520,-0.02233728135939167,38.1,0.654,0.40700000000000003,Trump
